"Component Ref ID"; "Pin Ref ID"; "Net Name"; "Mount"; "Side"; posX; posY
"U1"; "A16"; "MMC0_DAT0"; "SMD"; "TOP";17.7816; -55.5574
"U1"; "A15"; "MMC0_DAT1"; "SMD"; "TOP";17.7816; -56.8274
"U1"; "A14"; "I2C1_SCL"; "SMD"; "TOP";17.7816; -58.0974
"U1"; "A13"; " N/C_00089"; "SMD"; "TOP";17.7816; -59.3674
"U1"; "A12"; "PRU1_31_14"; "SMD"; "TOP";17.7816; -60.6374
"U1"; "A11"; "UART1_RXD"; "SMD"; "TOP";17.7816; -61.9074
"U1"; "A10"; "NetR244_2"; "SMD"; "TOP";17.7816; -63.1774
"U1"; "A9"; "AGND"; "SMD"; "TOP";17.7816; -64.4474
"U1"; "A8"; "PLUGIN_ID"; "SMD"; "TOP";17.7816; -65.7174
"U1"; "A7"; "SYS_ADC_1P8V"; "SMD"; "TOP";17.7816; -66.9874
"U1"; "A6"; " N/C_00081"; "SMD"; "TOP";17.7816; -68.2574
"U1"; "A5"; " N/C_00078"; "SMD"; "TOP";17.7816; -69.5274
"U1"; "A4"; "NetTP37_1"; "SMD"; "TOP";17.7816; -70.7974
"U1"; "A3"; "PRU0_30_4"; "SMD"; "TOP";17.7816; -72.0674
"U1"; "A2"; "PRU0_30_1"; "SMD"; "TOP";17.7816; -73.3374
"U1"; "A1"; "PRU0_30_0"; "SMD"; "TOP";17.7816; -74.6074
"U1"; "B16"; "MMC0_CMD"; "SMD"; "TOP";19.0516; -55.5574
"U1"; "B15"; "NetR257_1"; "SMD"; "TOP";19.0516; -56.8274
"U1"; "B14"; "I2C1_SDA"; "SMD"; "TOP";19.0516; -58.0974
"U1"; "B13"; " N/C_00090"; "SMD"; "TOP";19.0516; -59.3674
"U1"; "B12"; "PRU1_30_15"; "SMD"; "TOP";19.0516; -60.6374
"U1"; "B11"; "UART1_TXD"; "SMD"; "TOP";19.0516; -61.9074
"U1"; "B10"; "NetR243_2"; "SMD"; "TOP";19.0516; -63.1774
"U1"; "B9"; "AGND"; "SMD"; "TOP";19.0516; -64.4474
"U1"; "B8"; "AMBIENT"; "SMD"; "TOP";19.0516; -65.7174
"U1"; "B7"; "VREFP"; "SMD"; "TOP";19.0516; -66.9874
"U1"; "B6"; "TEMP"; "SMD"; "TOP";19.0516; -68.2574
"U1"; "B5"; " N/C_00079"; "SMD"; "TOP";19.0516; -69.5274
"U1"; "B4"; " N/C_00075"; "SMD"; "TOP";19.0516; -70.7974
"U1"; "B3"; "PRU0_30_5"; "SMD"; "TOP";19.0516; -72.0674
"U1"; "B2"; "PRU0_30_2"; "SMD"; "TOP";19.0516; -73.3374
"U1"; "B1"; "PRU0_30_3"; "SMD"; "TOP";19.0516; -74.6074
"U1"; "C16"; "MMC0_DAT2"; "SMD"; "TOP";20.3216; -55.5574
"U1"; "C15"; "MMC0_DAT3"; "SMD"; "TOP";20.3216; -56.8274
"U1"; "C14"; "MMC0_CD"; "SMD"; "TOP";20.3216; -58.0974
"U1"; "C13"; "UART4_TXD"; "SMD"; "TOP";20.3216; -59.3674
"U1"; "C12"; "UART4_RXD"; "SMD"; "TOP";20.3216; -60.6374
"U1"; "C11"; "NetTP23_1"; "SMD"; "TOP";20.3216; -61.9074
"U1"; "C10"; "NetTP22_1"; "SMD"; "TOP";20.3216; -63.1774
"U1"; "C9"; " N/C_00086"; "SMD"; "TOP";20.3216; -64.4474
"U1"; "C8"; " N/C_00085"; "SMD"; "TOP";20.3216; -65.7174
"U1"; "C7"; "NetC115_1"; "SMD"; "TOP";20.3216; -66.9874
"U1"; "C6"; "NetC64_1"; "SMD"; "TOP";20.3216; -68.2574
"U1"; "C5"; "ECAP"; "SMD"; "TOP";20.3216; -69.5274
"U1"; "C4"; " N/C_00076"; "SMD"; "TOP";20.3216; -70.7974
"U1"; "C3"; "PRU0_31_6"; "SMD"; "TOP";20.3216; -72.0674
"U1"; "C2"; "NetR226_2"; "SMD"; "TOP";20.3216; -73.3374
"U1"; "C1"; "JTAG_TDI"; "SMD"; "TOP";20.3216; -74.6074
"U1"; "D16"; "RMII1_RXD1"; "SMD"; "TOP";21.5916; -55.5574
"U1"; "D15"; "ENET_NTREE_N"; "SMD"; "TOP";21.5916; -56.8274
"U1"; "D14"; "ENET_RST_N"; "SMD"; "TOP";21.5916; -58.0974
"U1"; "D13"; "NetR13_1"; "SMD"; "TOP";21.5916; -59.3674
"U1"; "D12"; " N/C_00088"; "SMD"; "TOP";21.5916; -60.6374
"U1"; "D11"; "NetTP23_1"; "SMD"; "TOP";21.5916; -61.9074
"U1"; "D10"; "NetTP22_1"; "SMD"; "TOP";21.5916; -63.1774
"U1"; "D9"; "DGND"; "SMD"; "TOP";21.5916; -64.4474
"U1"; "D8"; "DGND"; "SMD"; "TOP";21.5916; -65.7174
"U1"; "D7"; "PMIC_MUX_OUT"; "SMD"; "TOP";21.5916; -66.9874
"U1"; "D6"; "PMIC_MUX_OUT"; "SMD"; "TOP";21.5916; -68.2574
"U1"; "D5"; " N/C_00080"; "SMD"; "TOP";21.5916; -69.5274
"U1"; "D4"; "PMIC_INT"; "SMD"; "TOP";21.5916; -70.7974
"U1"; "D3"; "NJTAG_TRST"; "SMD"; "TOP";21.5916; -72.0674
"U1"; "D2"; "JTAG_TMS"; "SMD"; "TOP";21.5916; -73.3374
"U1"; "D1"; "JTAG_TCK"; "SMD"; "TOP";21.5916; -74.6074
"U1"; "E16"; "NetU1_E16"; "SMD"; "TOP";22.8616; -55.5574
"U1"; "E15"; "RMII1_RXERR"; "SMD"; "TOP";22.8616; -56.8274
"U1"; "E14"; "RMII1_RXD0"; "SMD"; "TOP";22.8616; -58.0974
